→,orinsinal,":  http://i.imgur.com/NDzmJTn.jpg","06/10 14:57"
噓,playbigGG,": 最會煽動族群仇恨的不就DPP 做賊的喊捉賊 不要臉","06/10 14:57"
→,playbigGG,": 每年228就要出來撕裂族群","06/10 14:58"
推,oncemore,": 幫愛國同心會講話的  還被民進黨支持參選立委","06/10 14:58"
推,modjo,": 228撕裂族群?說個例子來聽聽?","06/10 14:58"
噓,kawazima8869,": 除了滯台支那人","06/10 14:59"
→,oncemore,": 也不用輪到國民黨譴責   民進黨就自己打自己臉","06/10 14:59"
推,jiayuan,": 支持者轉彎轉那麼開心 的確有病","06/10 14:59"
推,lazo,": 愛國同心會拿著五星旗的時候，民進黨好像不是這樣說喔","06/10 14:59"
推,ImBBCALL,": Dpp出來譴責民政府行為，可是這些行為吱吱身上可沒少見","06/10 14:59"
→,ImBBCALL,": 過，大家家是在笑吱吱啊，關愛國同心會鳥事","06/10 14:59"
噓,playbigGG,": DPP是煽動族群仇恨對立的始作俑者 台灣亂源","06/10 15:00"
推,rick6304,": 打台獨狗的時候都沒事 罵罵老榮民最好抓去關起來","06/10 15:00"
推,orinsinal,":  http://i.imgur.com/vwxZ9RJ.jpg","06/10 15:00"
推,jehow,": 那原著民不就可以趕他 都來幾十年 大家都在同條船上分什麼","06/10 15:01"
推,jehow,": 彼此 但應該也把榮民津貼取消 一律平等就是","06/10 15:01"
推,gn1384181,": 我什麼我覺得洪素珠這言論沒什麼意外啊 平常在八卦版","06/10 15:01"
→,gn1384181,": 已經看多了","06/10 15:01"
→,orinsinal,": 八卦吱吱冷血仇恨反中 樓上証據只是冰山一角","06/10 15:01"
推,jimmyQQQQ,": 吱吱們的觀念:理性思考的人就是賣台親中","06/10 15:01"
推,shou0810,": 又轉彎惹","06/10 15:01"
推,jiayuan,": 素珠言論平常在八卦板還嫌少嗎 現在怎都不講了","06/10 15:02"
→,orinsinal,": 這篇吱吱還沒進來喊9.2崩潰喔 是被主子抽到挫屎了？","06/10 15:02"
推,madaniel,": 整群9.2智障又崩潰了?dpp創黨就有外省人了~黨工懂嗎?","06/10 15:02"
→,gn1384181,": 洪素珠只是比較有guts把網路上的嘴炮轉為實際行動而已","06/10 15:02"
推,ImBBCALL,": 愛國同心會搞笑團體大家都知道，kmter用愛國同心會那招","06/10 15:02"
→,madaniel,": 9.2智障又吃主子的屎了?^^","06/10 15:02"
→,ImBBCALL,": 我到是少見哪","06/10 15:02"
→,gn1384181,": 要是八卦吱吱也像洪素珠那麼有guts付諸行動 就是活體","06/10 15:03"
噓,golden90038,": 最愛搞族群仇恨就DPP","06/10 15:03"
推,orinsinal,": 台灣素吱啼不住 英文已過髮夾彎","06/10 15:03"
推,tenka92417,": 切割了","06/10 15:03"
推,mokke,": 某些連續推文的固定id別秀下限了 這篇只證明了KMT有多爛 只","06/10 15:03"
→,gn1384181,": 版洪素珠2.0<===還會被你的DPP主子譴責喔，噗嗤XDD","06/10 15:03"
→,mokke,": 看顏色 只要顏色對 從來不出來譴責","06/10 15:03"
噓,facefear,": 就DDP的9.2  專門煽動仇恨的人阿","06/10 15:04"
推,jiayuan,": 有人實踐八卦版言論 怎不大力支持 轉髮夾彎的確了得","06/10 15:04"
→,apexclimber,": DPP譴責自己的支持者 這樣對嗎","06/10 15:04"
→,madaniel,": 黨工繼續無腦崩潰~外獨會整個併入dpp都多少年了~","06/10 15:04"
推,ImBBCALL,": 我要與笑過白狼啊。哈哈","06/10 15:04"
→,orinsinal,": 說吱吱喊崩 馬上有人跟著 被抽到屁股腫爆 ok蹦貼滿了？","06/10 15:04"
推,historyway,": 八卦版還有人拍手叫好，他們這下子該如何是好","06/10 15:04"
→,gn1384181,": DPP的9.2這個版多的是了 我看不出他們言論跟洪素珠有啥","06/10 15:04"
→,ttykimo,": 智障9.2就愛拉整個外省下水 跟老公務拉年輕公務下水一樣","06/10 15:05"
→,madaniel,": 其中陳師孟啦~段宜康啦~多年來都被狗鳴党罵外省人叛徒呢","06/10 15:05"
→,gn1384181,": 不同 只是洪素珠比較有guts 人家敢在現實生活中直接噴","06/10 15:05"
推,FTKBOYS,": 讚啊","06/10 15:05"
噓,Norther,": 說個笑話 民進黨呼籲別煽動族群仇恨","06/10 15:05"
推,jaguars33,": 反觀","06/10 15:05"
→,ttykimo,": 就沒看過KMT嚴厲譴責連戰的皇民論啦 9.2好意思嘴喔","06/10 15:06"
→,jimmyQQQQ,": 228該道歉都道歉了也補償了每年還是一樣老梗重提 不然","06/10 15:06"
→,jimmyQQQQ,": 要怎樣直接說啊 跟母豬一樣口是心非 每年吵不煩啊","06/10 15:06"
推,ShadowTime,": 只覺得是精神有問題吧","06/10 15:06"
→,madaniel,": 說黨工吃屎~馬上有智障党工用力吃~~吃飽點阿^^","06/10 15:06"
→,hansenay,": 這麼多年了還在DPP撕裂族群 那KMT叫甚麼? 種族屠殺?","06/10 15:06"
→,playbigGG,": 228就是用來騙取選票用的","06/10 15:07"
推,jaeomes,": 9.2好像不曾反對過止兀 秋禿的言論 好像還支持","06/10 15:07"
推,ians20025,": 這幾年來最愛煽動的就是KMT啊，DPP早就不玩這一招了","06/10 15:07"
→,madaniel,": 那狗黨黨工還不回報黨中央讓轉型正義條例快通過~","06/10 15:07"
→,jaeomes,": 也根本沒看過反對同心會的言論","06/10 15:08"
→,madaniel,": 這樣就沒辦法用228騙選票囉~狗黨擋個屁?","06/10 15:08"
→,hansenay,":   那快把228加害人全部公開 就再也騙不到選票啦","06/10 15:08"
→,playbigGG,": 該道歉的都道歉了 該賠償的都賠償了 還要每年拿出來炒","06/10 15:08"
→,noobismeok,": 台灣民政府本來就是詐騙集團...","06/10 15:09"
推,darkage,": 推","06/10 15:09"
推,orinsinal,": 吱吱就是可愛 被主子抽了還要上網療傷","06/10 15:09"
推,jiayuan,": 嚴厲譴責族群仇恨言論 糟了支持者都不能說話了","06/10 15:09"
→,orinsinal,": 萬年口號自癒 黨工又蹦了XDDD","06/10 15:10"
推,foolfighter,": 笑噴了，就蛆蛆在那雙重標準","06/10 15:10"
→,wsx26997785,": ============> 大推 民進黨 我獨派也忍受不了這行為","06/10 15:10"
推,madaniel,": 9.2智障就是無恥~被主子餵了屎就上網讓人打臉^^","06/10 15:10"
推,elijah2012,": 這麼多快速髮夾彎，吱吱都不會被甩出車外 超強der","06/10 15:11"
→,orinsinal,": 只有幾個吱吱進來喊口號 怎麼取暖？你主子抽得好","06/10 15:11"
→,jehow,": 等到哪天某族群沒特別待遇時 dpp就煽動不起來 不能因為榮","06/10 15:11"
→,jehow,": 民可憐 錢領的就比老農老工人多 本省人當然會不平","06/10 15:11"
→,madaniel,": 9.2智障一定不知道傅正等人對於民進黨成立的影響吧~","06/10 15:11"
→,foolfighter,": 版上出現日本新聞，藍蛆推文皇民倭奴有少講過嗎？","06/10 15:11"
推,jiayuan,": 民進黨支持者只好自縫嘴巴了 以免再仇恨族群","06/10 15:12"
→,orinsinal,": 主子今天切割了洪素吱們 與八卦689吱 明天起吱吱還有容","06/10 15:12"
推,discoveryray,": 就是在說你們啊","06/10 15:12"
→,orinsinal,": 身吱處嗎？我看滾到正晶文去舔主子抽得傷口吧","06/10 15:12"
→,madaniel,": 9.2智障繼續無恥跳針~沒辦法沒有腦反駁不了外獨會~~","06/10 15:12"
→,foolfighter,": 兩邊鄉民都一樣血腥，不用在那嘴啦，這則新聞是在講","06/10 15:12"
→,madaniel,": 狗鳴党沒黨產之後,智障9.2還有容身糞坑嗎?會不會餓死?^^","06/10 15:13"
→,foolfighter,": 民進黨譴責仇恨言論，國民黨上次譴責仇恨言論什麼時","06/10 15:13"
推,YAUN,": 支那賤畜就是426的蔑稱。怎麼會有台灣人以為自己是426?","06/10 15:13"
→,foolfighter,": 候？ 兩邊高下立判啦","06/10 15:13"
推,heartblue,": 其實八卦版才是台灣民政府的集散中心啊！","06/10 15:14"
推,nightfish,": 228死了破萬人才賠八百件 除非當年人都老死 不然講不完","06/10 15:14"
推,gn1384181,": 恭喜吱八們得到新的綽號:洪素吱們XDDDDD","06/10 15:14"
推,hatenese,":         被打臉被賣了還繼續挺教主。信仰虔誠給推XDDDDD","06/10 15:14"
推,orinsinal,": 洪素吱們還在喊口號喔 主子抽你們你不生氣耶","06/10 15:15"
推,madaniel,": 9.2智障:""說你被打臉就~什麼外獨會的我不知道啦~""^^","06/10 15:15"
推,dioib,": %%%%%%%%%%%%%%%%%%%%%%%%%%%%","06/10 15:15"
→,orinsinal,": 這是怎樣的情操 為絕醒青年 洪素吱們 致敬！","06/10 15:15"
推,foolfighter,": #1Mfw2yc- (Gossiping) 吱吱的主流也不是對榮民無差","06/10 15:15"
→,madaniel,": 9.2智障還在喊口號喔?外獨會到底查了沒阿~^^","06/10 15:16"
推,ImBBCALL,": 國民黨很爛啊，別代表不能笑吱吱啊，有衝突喔？","06/10 15:16"
→,foolfighter,": 別攻擊，一堆台獨人士本身就是外省後代","06/10 15:16"
→,orinsinal,": 你今天被民進黨發言人抽 還要說 我就是吱到啥 所以我沒","06/10 15:16"
→,madaniel,": 今天被抽的是族群歧視者ㄟ~不好意思老子仇的是9.2智障~Y","06/10 15:17"
→,orinsinal,": 被抽XDDD這自慰情操快衝爆民進黨辦大樓了","06/10 15:17"
→,orinsinal,": 被抽的洪素吱們還在切割自己XDDDDD","06/10 15:17"
→,madaniel,": 不過9.2智障會把狗鳴党帶換成族群就是~無腦無恥只會吃屎","06/10 15:17"
→,Nakara,": 一堆崩潰洗板的XDD 跳針跳不停","06/10 15:17"
推,Areso,": 素珠講出多數本省長輩的心聲 表面不說而已 外省仔滾回去","06/10 15:17"
→,orinsinal,": 主子抽你們 你們喊著屁股沒了 就能切割啊","06/10 15:17"
→,foolfighter,": 講的好像這裡只有罵過支那賤畜，蛆蛆罵皇民倭奴矮黑","06/10 15:17"
→,madaniel,": 吃屎的9.25智障党工到底GOOGLE外獨會沒呀?^^","06/10 15:18"
→,foolfighter,": 無視內","06/10 15:18"
推,CCBaxter,": 哈哈洪素吱哈哈","06/10 15:18"
→,orinsinal,": 洪素吱被抽到屁股沒了 就說民進黨不是抽洪吱們XDDDD","06/10 15:18"
→,madaniel,": 老子抽9.2黨工~你喊著我沒看到~就裝沒事對吧?^^","06/10 15:18"
→,orinsinal,": 外獨會跟洪素吱被抽到屁股沒了 你用屁股救你屁股？","06/10 15:19"
→,htc,:,"06/10 15:19"
→,madaniel,": 智障9.2黨工解釋一下為什麼外獨會會併到民進黨裡阿~^^","06/10 15:19"
→,orinsinal,": 洪素吱還在到處找屁股？","06/10 15:19"
→,madaniel,": 智障党工沒有大腦想不到歧視外省族群的話外獨會能進去?","06/10 15:19"
推,techniclaire,": 不敢承認228就說是撕裂族群哈哈KMTer哈哈","06/10 15:19"
推,Tawara,": 那個素珠是""民政府""的吧","06/10 15:20"
→,madaniel,": 狗鳴党工還在吃屎跳針?^^","06/10 15:20"
→,orinsinal,": 不然這麼愛外獨會 是屁股不見了嗎 比沒穿褲子還慘啊","06/10 15:20"
推,onedge,": 怎麼還沒被噓爆？","06/10 15:20"
噓,skyringcha,": 族群仇恨不是發生在外省人眷村的日常嗎？不相信你問他","06/10 15:20"
噓,skyringcha,": 們任何一個台灣人的主政者怎麼樣就知道了","06/10 15:20"
推,Miyuli,": 本串收穫豐富","06/10 15:20"
推,ImBBCALL,": 我笑的是吱障啊，你要出來也可以啊","06/10 15:20"
→,madaniel,": 就狗鳴党智障党工來說~不是狗鳴党的就是dpp咩~因為智障","06/10 15:20"
→,orinsinal,": 洪素吱 聽令 黨說了 譴責你們","06/10 15:20"
→,madaniel,": 智障党工回答不出為何外獨會會在dpp裡又崩潰啦?","06/10 15:21"
→,orinsinal,": 黨在譴責 洪素吱們還在扯外獨會 抗命 丟臉死了XD","06/10 15:21"
→,madaniel,": 智障党工~聽令~狗擋說放飯時間屎來了~快吃喔~~","06/10 15:21"
→,orinsinal,": 這些人是外獨會的？","06/10 15:21"
→,hatenese,": 啊，我是說《。「文成武德，澤披蒼生。千秋萬載，》","06/10 15:21"
→,hatenese,": 一統江湖。」「教主令旨英明，算無遺策，燭照天下》","06/10 15:21"
→,orinsinal,":  http://i.imgur.com/GGI4SN5.jpg","06/10 15:21"
→,hatenese,": 《，造福萬民，戰無不勝，攻無不克。屬下謹奉令旨","06/10 15:22"
→,orinsinal,":  http://i.imgur.com/HGweNwT.jpg","06/10 15:22"
→,madaniel,": dpp有外獨會,譴責族群歧視~智障還在扯~你的臉呢?^^","06/10 15:22"
→,orinsinal,": 洪素吱們還在內戰？八卦眾自己互割？","06/10 15:22"
推,foolfighter,": 兩邊都有仇恨言論，民進黨譴責的是包含洪秀珠、張秀","06/10 15:22"
→,orinsinal,": 我看吱吱割到自己屁股都花了CDDDD","06/10 15:23"
→,foolfighter,": 葉的仇恨言論，推文高潮先抓吱吱打，騙人沒看過藍腦","06/10 15:23"
→,foolfighter,": 偏激推文喔zzzz","06/10 15:23"
→,madaniel,": 丟一個不知道哪來的id想表示什麼?黨工大腦入屎啦?^^","06/10 15:23"
→,hatenese,": 《，忠心為主，萬死不辭。」「教主指示聖明，歷百年而常","06/10 15:23"
→,hatenese,": 《新，垂萬世而不替，如日月之光，布於天下，屬下自當","06/10 15:23"
→,a29976137,": 民進黨最大笑話","06/10 15:23"
→,orinsinal,": Gimo這類人士 是外獨會的嗎 洪素吱們在自宮？","06/10 15:23"
→,madaniel,": 9.2智障崩潰到親媽都不認得了~去查你前輩纖體俠說過啥~","06/10 15:24"
→,foolfighter,": 在那邊假清高雙重標準，洗洗睡","06/10 15:24"
→,orinsinal,": 洪素吱開始切割自己人了XDDDD","06/10 15:24"
→,madaniel,": gimo是誰?我應該認識嗎?智障9.2抓路人認親?智障?","06/10 15:24"
→,hatenese,": 凜遵。」 》的那個東方不敗啦。大家別誤會喔^^","06/10 15:24"
→,hongtm,": 先喊先贏嗎？ 平常誰最愛挑起仇恨 心知肚明","06/10 15:24"
→,orinsinal,": ㄧ堆當時喊支那滾蛋的 通通縮了","06/10 15:24"
推,ImBBCALL,": 啊素吱的跟吱吱就一樣啊，關藍腦什麼事，藍腦大家又不是","06/10 15:24"
→,madaniel,": 吃屎黨工繼續崩潰了XDDD 傅正是誰查過沒?^^","06/10 15:25"
→,rx178mk2,": 還不是你們挑起來的，呵","06/10 15:25"
→,ImBBCALL,": 不會取笑，奇怪了？搞笑的大家都笑啊","06/10 15:25"
→,orinsinal,": 洪素吱們 自家內戰 割到自己人屁股都花了XDDD","06/10 15:25"
→,madaniel,": 誰最愛挑起仇恨?阿不就殺人狗鳴党嗎?^^","06/10 15:26"
→,orinsinal,": ㄧ堆八卦偏激言論 現在切割 被主子抽屁股就開始清高","06/10 15:26"
→,madaniel,": 智障党工什麼都不敢查~只會吃屎跳針崩潰腦都爛了XDDD","06/10 15:26"
推,liudwan,": 奇怪耶，一堆臭蛆見獵心喜，是壓抑太久了嗎","06/10 15:26"
→,madaniel,": 這麼勤快是主子今天會發加屎金嗎?^^","06/10 15:27"
→,orinsinal,": 洪素吱們天天切割 還有朋友嗎哈哈哈","06/10 15:27"
→,jaeomes,": 都差不多那幾個ID…","06/10 15:27"
推,bleedwolf,": 幸好還是有人頭腦清楚","06/10 15:27"
→,madaniel,": 9.2智障黨工每天就幾個固定的在崩潰~沒朋友哭哭對吧?","06/10 15:28"
→,orinsinal,": 八卦洪素吱們今天正式成形 開始找主子抽爆的屁股囉","06/10 15:28"
→,orinsinal,": 你的洪素吱朋友呢？","06/10 15:29"
→,madaniel,": 智障狗鳴党工今天努力加班~為了狗鳴党家的屎在奮鬥喔~","06/10 15:29"
→,madaniel,": 你的智障党工同伴呢?","06/10 15:29"
推,ImBBCALL,": 因為太爆笑了當然要笑一下","06/10 15:29"
→,orinsinal,": 還在找民進黨發言人抽爆的洪吱屁股嗎","06/10 15:29"
→,hatenese,": 自從某東尼很少推文，倒是多了另一位呢................","06/10 15:29"
推,foolfighter,": 好正義內，藍營喊皇民倭寇的時候逼逼扣不知道躲到哪","06/10 15:30"
→,madaniel,": 在你努力跳針的時候偷吃狗黨發給你的那份屎嗎?","06/10 15:30"
→,orinsinal,": 洪素吱吱 屁股紅吱吱 哈哈哈","06/10 15:30"
