"key","household"
"台中市外埔區鐵山里",766
"台中市外埔區馬鳴里",469
"台中市大安區中庄里",861
"台中市大安區南埔里",353
"台中市大安區南庄里",352
"台中市大安區東安里",412
"台中市大安區松雅里",294
"台中市大安區永安里",574
"台中市大安區海墘里",505
"台中市大安區福住里",339
"台中市大安區福興里",394
"台中市大安區西安里",540
"台中市大安區頂安里",293
"台中市大安區龜売里",491
"台中市大甲區中山里",1713
"台中市大甲區南陽里",331
"台中市大甲區大甲里",446
"台中市大甲區太白里",397
"台中市大甲區奉化里",781
"台中市大甲區孔門里",363
"台中市大甲區孟春里",1422
"台中市大甲區岷山里",764
"台中市大甲區平安里",776
"台中市大甲區幸福里",922
"台中市大甲區庄美里",771
"台中市大甲區建興里",448
"台中市大甲區德化里",581
"台中市大甲區文曲里",361
"台中市大甲區文武里",1996
"台中市大甲區新美里",1292
"台中市大甲區日南里",1934
"台中市大甲區朝陽里",570
"台中市大甲區武曲里",534
"台中市大甲區武陵里",366
"台中市大甲區江南里",446
"台中市大甲區福德里",365
"台中市大甲區義和里",1070
"台中市大甲區薰風里",373
"台中市大甲區西岐里",514
"台中市大甲區銅安里",455
"台中市大甲區頂店里",1581
"台中市大甲區順天里",650
"台中市大甲區龍泉里",498
"台中市大肚區中和里",267
"台中市大肚區大東里",1097
"台中市大肚區大肚里",734
"台中市大肚區山陽里",497
"台中市大肚區成功里",307
"台中市大肚區新興里",956
"台中市大肚區永和里",297
"台中市大肚區永順里",527
"台中市大肚區營埔里",465
"台中市大肚區王田里",1417
"台中市大肚區瑞井里",1744
"台中市大肚區磺溪里",605
"台中市大肚區社腳里",802
"台中市大肚區福山里",1260
"台中市大肚區自強里",1419
"台中市大肚區蔗廍里",1771
"台中市大肚區頂街里",2865
"台中市大里區中新里",2165
"台中市大里區仁化里",3083
"台中市大里區仁德里",2217
"台中市大里區健民里",1666
"台中市大里區內新里",3600
"台中市大里區國光里",2236
"台中市大里區塗城里",3033
"台中市大里區夏田里",342
"台中市大里區大元里",1540
"台中市大里區大明里",1748
"台中市大里區大里里",1274
"台中市大里區新仁里",2831
"台中市大里區新里里",4142
"台中市大里區日新里",1544
"台中市大里區東昇里",1261
"台中市大里區東湖里",4105
"台中市大里區東興里",2741
"台中市大里區樹王里",1182
